### SECTION 1: PRACTICES (1472 rows)
id,nbu_code,name,section,category,parent_id,active
508,662461,ALDOSTERONA urinaria,Prácticas Especiales,,,true
509,662469,ALDRIN,Prácticas Especiales,,,true
511,662508,Alfa 1 GLUCOPROTEINA ACIDA (OROSOMUCOIDE),Prácticas Especiales,,,true
512,662521,Alfa 2 ANTIPLASMINA,Prácticas Especiales,,,true
19,660020,ALFA FETO PROTEINA (AFP),Prácticas Generales,,,true
514,662547,Alfa GALACTOSIDASA (Fabry),Prácticas Especiales,,,true
515,662555,Alfa GLUCOSIDASA NEUTRA semen,Prácticas Especiales,,,true
516,662559,Alfa L IDURONIDASA,Prácticas Especiales,,,true
517,662561,Alfa MANOSIDASA,Prácticas Especiales,,,true
518,662563,"Alfa NITROSO BETA NAFTOL, PRUEBA de",Prácticas Especiales,,,true
519,662572,ALPRAZOLAM,Prácticas Especiales,,,true
520,662587,ALUMINIO pelo,Prácticas Especiales,,,true
521,662589,ALUMINIO sérico,Prácticas Especiales,,,true
522,662591,ALUMINIO urinario,Prácticas Especiales,,,true
523,662598,AMETRYN,Prácticas Especiales,,,true
524,662606,AMIKACINA,Prácticas Especiales,,,true
20,660022,AMILASA sérica,Prácticas Generales,,,true
21,660023,AMILASA urinaria,Prácticas Generales,,,true
22,660025,AMINOÁCIDOS FRACCIONADOS (Cromatografía por fracción) -cualitativo,Prácticas Generales,,,true
525,662620,AMINOÁCIDOS LCR (Cromatografía cuantitativa),Prácticas Especiales,,,true
527,662624,AMINOÁCIDOS sangre seca en papel de filtro SSPF (cuantitativo),Prácticas Especiales,,,true
526,662623,AMINOÁCIDOS sérico (Cromatografía cuantitativa),Prácticas Especiales,,,true
528,662627,AMINOÁCIDOS urinarios (Cromatografía cuantitativa),Prácticas Especiales,,,true
529,662630,AMINOÁCIDOS urinarios (Cualitativo),Prácticas Especiales,,,true
23,660027,AMINOACIDURIA FRACCIONADA (Cromatografía por fracción) -cualitativo,Prácticas Generales,,,true
25,660029,"AMNIOTICO, LÍQUIDO (Espectrofotometría Test de Lisley)",Prácticas Generales,,,true
24,660028,"AMNIOTICO, LÍQUIDO CELULAS NARANJAS",Prácticas Generales,,,true
26,660030,"AMNIOTICO, LÍQUIDO LECITINA ESFINGOMIELINA",Prácticas Generales,,,true
27,660031,AMONEMIA,Prácticas Generales,,,true
530,662649,AMONIO urinario,Prácticas Especiales,,,true
28,660032,AMP CICLICO,Prácticas en Desuso,,,false
531,662657,ANAEROBIOS (Cultivo),Prácticas Especiales,,,true
532,662666,ANDROSTENEDIOL GLUCURÓNIDO (ALFA DIOL GLUCURONIDO),Prácticas Especiales,,,true
